BatteryID,Model,StartDate,MaxCycles
LPO-7S-35-027,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-028,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-029,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-030,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-031,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-032,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-033,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-034,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-035,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-036,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-037,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-038,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-039,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-040,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-041,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-042,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-043,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-044,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-045,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-046,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-047,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-048,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-049,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-050,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-051,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-052,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-053,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-054,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-055,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-056,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-057,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-058,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-059,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-060,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-061,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-062,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-063,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-064,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-065,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-066,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-067,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-068,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-069,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-070,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-071,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-072,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-073,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-074,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-075,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-076,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-077,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-078,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-079,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-080,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-081,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-082,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-083,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-084,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-37-001,7S 37500mAh (LiPo),2026-01-01,300
LPO-7S-37-002,7S 37500mAh (LiPo),2026-01-01,300
LPO-7S-37-003,7S 37500mAh (LiPo),2026-01-01,300
LPO-7S-37-004,7S 37500mAh (LiPo),2026-01-01,300
LPO-7S-39-001,7S 39000mAh (LiPo),2026-01-01,300
LPO-7S-39-002,7S 39000mAh (LiPo),2026-01-01,300
LPO-18S-64-001,18S 2P 64000mAh (LiPo),2026-01-01,300
LPO-18S-64-002,18S 2P 64000mAh (LiPo),2026-01-01,300
LPO-18S-64-003,18S 2P 64000mAh (LiPo),2026-01-01,300
LPO-18S-64-004,18S 2P 64000mAh (LiPo),2026-01-01,300
LPO-18S-64-005,18S 2P 64000mAh (LiPo),2026-01-01,300
LPO-18S-75-001,18S 2P 75000mAh (LiPo),2026-01-01,300
LPO-18S-75-002,18S 2P 75000mAh (LiPo),2026-01-01,300
LPO-18S-75-003,18S 2P 75000mAh (LiPo),2026-01-01,300
LPO-18S-75-004,18S 2P 75000mAh (LiPo),2026-01-01,300
LPO-18S-75-005,18S 2P 75000mAh (LiPo),2026-01-01,300
LPO-18S-75-006,18S 2P 75000mAh (LiPo),2026-01-01,300
LPO-18S-75-007,18S 2P 75000mAh (LiPo),2026-01-01,300
LPO-18S-75-008,18S 2P 75000mAh (LiPo),2026-01-01,300
LPO-18S-75-009,18S 2P 75000mAh (LiPo),2026-01-01,300
LPO-18S-75-010,18S 2P 75000mAh (LiPo),2026-01-01,300
LPO-18S-75-011,18S 2P 75000mAh (LiPo),2026-01-01,300
LPO-18S-75-012,18S 2P 75000mAh (LiPo),2026-01-01,300
LPO-18S-75-013,18S 2P 75000mAh (LiPo),2026-01-01,300
LPO-18S-75-014,18S 2P 75000mAh (LiPo),2026-01-01,300
